,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recovered,Active_cases,Serious,Case_per_million,Deaths_per_million,Total_tests,Tests_per_million
175,Zimbabwe,44,2,4.0,0,17.0,23.0,11.5,3.0,0.3,27059.0,1824.0
176,Mauritania,40,0,4.0,0,7.0,29.0,11.5,9.0,0.9,2015.0,435.0
177,Saint Martin,39,0,3.0,0,30.0,6.0,1.0,1011.0,78.0,40230.0,8592.0
178,Eritrea,39,0,31.5,0,39.0,0.0,11.5,11.0,6.0,40230.0,8592.0
179,Nicaragua,25,0,8.0,0,7.0,10.0,11.5,4.0,1.0,40230.0,8592.0
180,Antigua and Barbuda,25,0,3.0,0,19.0,3.0,1.0,256.0,31.0,183.0,1871.0
181,Botswana,24,0,1.0,0,17.0,6.0,11.5,10.0,0.4,11495.0,4901.0
182,Timor-Leste,24,0,31.5,0,24.0,0.0,11.5,18.0,6.0,738.0,561.0
183,Gambia,23,0,1.0,0,12.0,10.0,11.5,10.0,0.4,1341.0,557.0
184,Grenada,22,0,31.5,0,14.0,8.0,4.0,196.0,6.0,2419.0,21510.0
185,Bhutan,21,0,31.5,0,5.0,16.0,11.5,27.0,6.0,13701.0,17781.0
186,Laos,19,0,31.5,0,14.0,5.0,11.5,3.0,6.0,4451.0,613.0
187,Belize,18,0,2.0,0,16.0,0.0,11.5,45.0,5.0,1043.0,2629.0
188,Fiji,18,0,31.5,0,15.0,3.0,11.5,20.0,6.0,1300.0,1451.0
189,New Caledonia,18,0,31.5,0,18.0,0.0,11.5,63.0,6.0,5454.0,19126.0
190,Saint Lucia,18,0,31.5,0,18.0,0.0,11.5,98.0,6.0,786.0,4283.0
191,St. Vincent Grenadines,17,0,31.5,0,14.0,3.0,11.5,153.0,6.0,155.0,1398.0
192,Curaçao,16,0,1.0,0,14.0,1.0,11.5,98.0,6.0,389.0,2372.0
193,Dominica,16,0,31.5,0,15.0,1.0,11.5,222.0,6.0,420.0,5836.0
194,Namibia,16,0,31.5,0,13.0,3.0,11.5,6.0,6.0,2074.0,818.0
195,Burundi,15,0,1.0,0,7.0,7.0,11.5,1.0,0.08,284.0,24.0
196,Saint Kitts and Nevis,15,0,31.5,0,14.0,1.0,11.5,282.0,6.0,327.0,6152.0
197,Falkland Islands,13,0,31.5,0,13.0,0.0,11.5,3751.0,6.0,402.0,115984.0
198,Turks and Caicos,12,0,1.0,0,10.0,1.0,11.5,310.0,26.0,109.0,2820.0
199,Vatican City,12,0,31.5,0,2.0,10.0,11.5,14981.0,6.0,40230.0,8592.0
200,Comoros,11,0,1.0,0,3.0,7.0,11.5,13.0,1.0,40230.0,8592.0
201,Montserrat,11,0,1.0,0,10.0,0.0,11.5,2204.0,200.0,36.0,7212.0
202,Greenland,11,0,31.5,0,11.0,0.0,11.5,194.0,6.0,1629.0,28701.0
203,Seychelles,11,0,31.5,0,10.0,1.0,11.5,112.0,6.0,40230.0,8592.0
204,Suriname,10,0,1.0,0,9.0,0.0,11.5,17.0,2.0,404.0,689.0
205,MS Zaandam,9,0,2.0,0,1.0,7.0,11.5,222.0,6.0,40230.0,8592.0
206,British Virgin Islands,8,0,1.0,0,6.0,1.0,11.5,265.0,33.0,167.0,5529.0
207,Papua New Guinea,8,0,31.5,0,8.0,0.0,11.5,0.9,6.0,2402.0,269.0
208,Caribbean Netherlands,6,0,31.5,0,6.0,0.0,11.5,229.0,6.0,357.0,13630.0
209,St. Barth,6,0,31.5,0,6.0,0.0,11.5,608.0,6.0,40230.0,8592.0
210,Western Sahara,6,0,31.5,0,6.0,0.0,11.5,10.0,6.0,40230.0,8592.0
211,Anguilla,3,0,31.5,0,3.0,0.0,11.5,200.0,6.0,40230.0,8592.0
212,Lesotho,1,0,31.5,0,1.0,1.0,11.5,0.5,6.0,40230.0,8592.0
213,Saint Pierre Miquelon,1,0,31.5,0,1.0,0.0,11.5,173.0,6.0,40230.0,8592.0
214,China,82947,6,4633.0,0,78227.0,87.0,10.0,58.0,3.0,40230.0,8592.0
